stop_id,stop_code,stop_descr,stop_desr_matrix,stop_street,stoptyp_code,dimos,perioxi,stop_url
760015,760015,ΠΑΙΔΙΚΗ ΧΑΡΑ,PAIDIKH XARA,ΦΥΛΗΣ,ΣΤΑΣΗ,ΦΥΛΗΣ,Δ. ΕΝ.  ΦΥΛΗΣ,http://telematics.oasa.gr/#stationInfo_760015
760016,760016,ΠΑΛ.ΤΕΡΜΑ,PAL.TERMA,ΦΥΛΗΣ,ΣΤΑΣΗ,ΦΥΛΗΣ,Δ. ΕΝ.  ΦΥΛΗΣ,http://telematics.oasa.gr/#stationInfo_760016
760018,760018,ΑΡΙΖΟΝΑ,ARIZONA,ΦΥΛΗΣ,ΣΤΑΣΗ,ΦΥΛΗΣ,Δ. ΕΝ.  ΦΥΛΗΣ,http://telematics.oasa.gr/#stationInfo_760018
760019,760019,31Α ΦΥΛΗΣ,31A FYLHS,ΦΥΛΗΣ,ΣΤΑΣΗ,ΦΥΛΗΣ,Δ. ΕΝ.  ΦΥΛΗΣ,http://telematics.oasa.gr/#stationInfo_760019
760020,760020,31Α ΦΥΛΗΣ,31A FYLHS,ΦΥΛΗ,ΣΤΑΣΗ,ΦΥΛΗΣ,Δ. ΕΝ.  ΦΥΛΗΣ,http://telematics.oasa.gr/#stationInfo_760020
770003,770003,2η ΠΛ. ΕΥΚΑΛΥΠΤΩΝ,2nd PL. EYKALYPTON,ΠΛ.ΕΥΚΑΛΥΠΤΩΝ,ΣΤΑΣΗ,ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ,Δ. ΕΝ.  ΨΥΧΙΚΟΥ,http://telematics.oasa.gr/#stationInfo_770003
770004,770004,ΒΑΣ. ΠΑΥΛΟΥ,BAS. PAYLOY,ΒΑΣ.ΠΑΥΛΟΥ,ΣΤΑΣΗ,ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ,Δ. ΕΝ.  ΨΥΧΙΚΟΥ,http://telematics.oasa.gr/#stationInfo_770004
770005,770005,ΦΑΡΟΣ,FAROS,ΜΑΖΑΡΑΚΗ,ΣΤΑΣΗ,ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ,Δ. ΕΝ.  ΨΥΧΙΚΟΥ,http://telematics.oasa.gr/#stationInfo_770005
770006,770006,Α' ΠΛΑΤΕΙΑ,A' PLATEIA,ΠΛ.ΒΑΣ.ΓΕΩΡΓΙΟΥ,ΣΤΑΣΗ,ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ,Δ. ΕΝ.  ΨΥΧΙΚΟΥ,http://telematics.oasa.gr/#stationInfo_770006
770007,770007,ΒΕΝΖΙΝΗ,BENZINH,ΠΑΠΑΝΑΣΤΑΣΙΟΥ,ΣΤΑΣΗ,ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ,Δ. ΕΝ.  ΨΥΧΙΚΟΥ,http://telematics.oasa.gr/#stationInfo_770007
770008,770008,ΝΤΑΜΑΡΙΑ,NTAMARIA,ΕΛ.ΑΘΑΝΑΣΙΑΔΟΥ,ΣΤΑΣΗ,ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ,Δ. ΕΝ.  ΨΥΧΙΚΟΥ,http://telematics.oasa.gr/#stationInfo_770008
770009,770009,ΜΩΡΑΙΤΗ,MORAITH,ΠΑΠΑΝΑΣΤΑΣΙΟΥ,ΣΤΑΣΗ,ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ,Δ. ΕΝ.  ΨΥΧΙΚΟΥ,http://telematics.oasa.gr/#stationInfo_770009
